peak No.,Anotation,start m/z,end m/z,RT(min,RT(sec,RI,BY00,BY01,BY02,BY03,BY04,BY05,BY06,BY07,BY08,BY09,BY10,Xaa00,Xaa01,Xaa02,Xaa03,Xaa04,Xaa05,Xaa06,Xaa07,Xaa08,Xaa09,Xaa10,Xwo00,Xwo01,Xwo02,Xwo03,Xwo04,Xwo05,Xwo06,Xwo07,Xwo08,Xwo09,Xwo10
Peak-13,Fumaric acid::C00122+0,245,249,7.9,474,1343.8,0.673376433,0.589381999,0.648335745,0.64481306,0.623055556,0.443909153,0.37524818,0.359182099,0.159327731,0.258921162,0.096933253,0.677299185,0.738344988,0.666049709,0.729141104,0.611768573,0.487621098,0.460806525,0.365102639,0.263432607,0.142971034,0.059625668,0.713487526,0.701726214,0.687523701,0.702229681,0.604105572,0.465008972,0.291275797,0.228101721,0.195381883,0.129143755,0.107549669
Peak-14,Serine_3TMS_Major::C00065+0,204,206,7.95,477,1349.2,0.776420859,0.745268776,0.725257826,0.697167756,0.614032951,0.487507024,0.2851874,0.137301333,0.08633456,0.049710474,0.032688172,0.786709512,0.757392089,0.707952522,0.690578872,0.599348895,0.473917913,0.269236088,0.111967764,0.088295609,0.051103473,0.019120958,0.772359576,0.738797363,0.729550309,0.701681792,0.605881461,0.443935713,0.243444584,0.100099759,0.068171692,0.053327284,0.01989334
Peak-15,Alanine_3TMS_Minor::C00041,188,190,8,480,1354.4,0.77532003,0.739721058,0.732885022,0.669865091,0.608151735,0.45338865,0.27574103,0.119620103,0.041676777,0.029020426,0.022969978,0.781319186,0.762271337,0.731279787,0.69145636,0.610463819,0.466257795,0.259598169,0.114509841,0.040028013,0.024566709,0.016969768,0.781565839,0.748558962,0.734090027,0.676994155,0.615005865,0.494699053,0.320146594,0.141623561,0.038969656,0.020720036,0.014713595
Peak-16,Threonine_3TMS::C00188+0,218,221,8.19,491.4,1374.2,0.435187266,0.448761592,0.428724967,0.432211042,0.436409929,0.40195586,0.317558727,0.198058289,0.111050839,0.083816662,0.043809786,0.432305086,0.438452485,0.431428167,0.433715064,0.424199199,0.394400417,0.314412787,0.182132033,0.107441719,0.092753348,0.033870674,0.43204825,0.431345494,0.429591348,0.429683194,0.426400735,0.397903027,0.318869732,0.183851103,0.083281986,0.048518288,0.020923321
Peak-17,,160,163,8.6,516,1418.5,0.732939982,0.690570175,0.72289502,0.707796462,0.581556732,0.435963777,0.202182442,0.076160129,0.021724245,0.057305049,0.029890017,0.795687431,0.782408131,0.697052776,0.703356865,0.595547587,0.417411722,0.195346219,0.07486911,0.045507963,0.045349788,0.019924979,0.79181317,0.763843761,0.766783535,0.74431635,0.564400652,0.408120301,0.148076054,0.068677792,0.038876689,0.052733232,0.018660037
Peak-18,homoserine::C00263+0,218,221,8.77,526.2,1438.3,0.724758891,0.741074107,0.722889288,0.69315156,0.58779808,0.445098418,0.242443939,0.07918552,0.036277912,0.017862351,0.016338256,0.760860108,0.740849885,0.691431707,0.7021955,0.658267443,0.416263548,0.215834119,0.073840261,0.041884058,0.010368734,0.004750594,0.74355275,0.711676862,0.727624021,0.706789776,0.631502242,0.539401057,0.300103535,0.058045188,0.041738014,0.025181638,0.013637556
Peak-19,,232,234,8.98,538.8,1462.1,0.627737226,0.551829268,0.762425447,0.503875969,0.520749665,0.499369483,0.248812915,0.210410959,0.058032987,0.036476868,0.136454183,0.750981492,0.671275927,0.691216834,0.695652174,0.668411867,0.468133536,0.282637954,0.083684951,0.039949613,0.041474654,0.02027027,0.653783696,0.636717063,0.645990923,0.671931408,0.483856298,0.520085318,0.316206897,0.193464052,0.009823183,0.061001662,0
Peak-20,Malic acid::C00149+0,233,236,9.1,546,1475.6,0.681009077,0.683794466,0.685737439,0.644501279,0.628511725,0.476479915,0.234794908,0.11627907,0.082338308,0.040479466,0.003637907,0.743882872,0.689487071,0.766768877,0.711652908,0.610610353,0.4509508,0.144997796,0.089220685,0.063218391,0.010800508,0.007900243,0.608728242,0.667174726,0.735912532,0.677424749,0.611192931,0.40396927,0.158490566,0.055217709,0.031541642,0.022220028,0.008136535
Peak-21,,188,193,9.18,550.8,1484.4,0.660122048,0.708379764,0.666188507,0.692520776,0.702898551,0.629623933,0.520852786,0.312833453,0.104081633,0.012871423,0.007224625,0.709054759,0.676811701,0.716238996,0.689673767,0.705808319,0.648311923,0.514613031,0.286502881,0.091662756,0.012564806,0.002463515,0.677150468,0.696552388,0.69420866,0.65465699,0.724092284,0.664485047,0.54053442,0.337607269,0.142585325,0.018700531,0
Peak-23,Aspartic acid::C00049+0,232,235,9.38,562.8,1507.2,0.700678371,0.68657176,0.681082897,0.642029591,0.554366527,0.376798248,0.1749689,0.054775025,0.025596709,0.026042895,0.012578447,0.727836667,0.709069006,0.691812184,0.648854584,0.570518922,0.385334332,0.179466682,0.055179952,0.028051234,0.03341239,0.010523343,0.733700591,0.715177146,0.684989938,0.656546939,0.540009271,0.341454945,0.137536898,0.055251345,0.034619143,0.025648564,0.015589045
Peak-24,Methionine::C00073,176,180,9.43,565.8,1513.5,0.788943804,0.81498158,0.731026528,0.819643883,0.606310014,0.596401799,0.29782008,0.091205212,0.079607937,0.059652928,0.015907735,0.769331873,0.747636843,0.803413655,0.848297977,0.696390658,0.582443912,0.280798845,0.630172055,0.063994248,0.055569652,0.014824635,0.757597173,0.762711864,0.772682927,0.712954334,0.685150626,0.528714911,0.301581464,0.15918713,0.066061107,0.086769231,0.001216052
